cityName,stateName,cityCode,locationType,aliasCityName,weightage
Churela,Rajasthan,MMTCC41024,CITY,,5000
"Ghatshila,jharkhand",Jharkhand,MMTCC41025,CITY,,5000
Pachewar,Rajasthan,MMTCC41026,CITY,,5000
Athmallik,Odisha,MMTCC41027,CITY,,5000
Amta,West Bengal,MMTCC41028,CITY,,5000
Kakkattil,Kerala,MMTCC49001,CITY,,5000
Goregaon (Raigad),Maharashtra,MMTCC50198,CITY,,2006
Durgawati,Bihar,MMTCC41031,CITY,,5000
Katwa (West Bengal),West Bengal,MMTCC48876,CITY,,2967
Cherrapunji?,Meghalaya,MMTCC41033,CITY,,5000
Farrukh Nagar,Haryana,MMTCC41034,CITY,,5000
Chechapani,Assam,MMTCC41035,CITY,,5000
Dattlirajeru,Andhra Pradesh,MMTCC41036,CITY,,5000
Khairthal,Rajasthan,MMTCC41038,CITY,,5000
Ambagarh,Chhattisgarh,MMTCC41039,CITY,,5000
Udwant Nagar,Bihar,MMTCC41040,CITY,,5000
Tunuhatti,Himachal Pradesh,MMTCC41041,CITY,,5000
Zira,Punjab,MMTCC41042,CITY,,5000
Namsang,Arunachal Pradesh,MMTCC41043,CITY,,5000
Kalaigaon,Assam,MMTCC41044,CITY,,5000
Siyana(Rajasthan),Rajasthan,MMTCC41045,CITY,,5000
Santhekatte (Hebri),Karnataka,MMTCC41046,CITY,,5000
Aghunato,Nagaland,MMTCC41047,CITY,,5000
Barsahi,Odisha,MMTCC41048,CITY,,5000
Chilika,Odisha,MMTCC41049,CITY,,5000
Goh,Bihar,MMTCC41050,CITY,,5000
Barbari,Assam,MMTCC41051,CITY,,5000
Katoria,Bihar,MMTCC41052,CITY,,5000
Niz Namati,Assam,MMTCC41053,CITY,,5000
Masuda,Rajasthan,MMTCC41054,CITY,,5000
Tahbarpur,Uttar Pradesh,MMTCC41055,CITY,,5000
Giba,Arunachal Pradesh,MMTCC41056,CITY,,5000
Chinnagottigallu,Andhra Pradesh,MMTCC41057,CITY,,5000
Thathri,Jammu and Kashmir,MMTCC41058,CITY,,5000
Chakia,Bihar,MMTCC41059,CITY,,2779
Vellore bypass,Tamil Nadu,MMTCC48551,CITY,,2504
Chand,Bihar,MMTCC41061,CITY,,5000
Adampur,West Bengal,MMTCC41062,CITY,,5000
Kalapathar,West Bengal,MMTCC41063,CITY,,5000
Balaghat (Maharashtra),Maharashtra,MMTCC49357,CITY,,5000
Guptkashi,Uttarakhand,MMTCC41065,CITY,,5000
Tamkor,Rajasthan,MMTCC41066,CITY,,5000
Hadmatiya,Gujarat,MMTCC41067,CITY,,5000
Tuipang,Mizoram,MMTCC41068,CITY,,5000
Mangkolemba,Nagaland,MMTCC41069,CITY,,5000
Masturi,Chhattisgarh,MMTCC41070,CITY,,5000
Mahnar,Bihar,MMTCC41071,CITY,,5000
Thirumalayapalem,Andhra Pradesh,MMTCC41072,CITY,,5000
Lote,Maharashtra,MMTCC41073,CITY,,5000
